Modelo,F1 (média),F1 (std),Precision (média),Precision (std),Recall (média),Recall (std),ROC-AUC (média),ROC-AUC (std)
Regressão Logística,0.8640358571188188,0.0011899525645329325,0.7904675605247173,0.0019364840604525712,0.9527075871474361,0.0011357668156950773,0.9817863298301431,0.00025710527969823423
Random Forest,0.9973333869297013,0.00011633675888598966,0.9972348897957009,0.00024440694124538905,0.9974319746981636,0.0001957019186029441,0.9997737569799311,1.965189575030111e-05
Decision Tree,0.9970931813810896,0.00012438641107890617,0.9966792160395394,0.00029730511902840675,0.9975076146289533,0.0002568186223321867,0.9983583797148828,0.00011186247267288161
Hist Gradient Boosting,0.9969051217698498,0.00039637979618029637,0.9941893666538504,0.000754717165073389,0.9996360275746393,0.00010544662788369544,0.9999381017561151,2.4039429778790452e-05
Naive Bayes,0.5752857233379,0.002380892793654832,0.7530707072246362,0.0029216741575329255,0.46541328250239306,0.0022085794968583097,0.7265328376755116,0.0012557367757761045
